"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"HO-09-04-01-00","Property Tax Appeals, Refunds and Abatements","This category covers options for property owners who believe they may have been charged with property taxes at an incorrect assessment, or with other problems. This includes options to appeal a property valuation or request a refund of the taxes they've paid for a property.","HO-09-04-00-00",,"NSMI v1 Taxonomy [1621400]"
"HO-08-06-01-00","Another person (receiver) taking over from a landlord","This category covers the options of tenants to get a 'Receiver' or a court-appointed party to take over from a landlord who is in foreclosure or having serious problems with a lender. For example, a tenant may be notified that they now should pay rent to the receiver, not to the landlord, because of a court appointment of this receiver.","HO-08-06-00-00",,"NSMI v1 Taxonomy [1691000]"
"HO-09-05-00-00","Mortgages and other financing for a home","This category covers issues that a homeowner might have with taking out a mortgage, finding support and opportunities, dealing with scams, keeping up on their obligations, and understanding their options if problems arise.","HO-09-00-00-00, MO-00-00-00-00, HO-04-00-00-00",,"NSMI v1 Taxonomy [1621201]"
"HO-09-05-01-00","Federally-Subsidized Mortgage Loans","This category covers issues homeowners might have with mortgage loans that are federally subsidized. This might include issues about who is eligible for these mortgages, restrictions on them, protections for mortgage-holders, relief programs, and other options. It might be from agencies like HUD, Federal Housing Authority, Federal Housing Finance Agency, Federal Home Loan Bank System, Freddie Mac, or Fannie Mae.","HO-09-05-00-00",,"NSMI v1 Taxonomy [1622100]"
"HO-09-05-01-01","HUD-Insured Mortgages","This category includes options for homeowners who have mortgages that are insured by the HUD agency, or the Federal Housing Authority. It includes how to deal with problems if there are collections or foreclosure issues.","HO-09-05-01-00",,"NSMI v1 Taxonomy [1620700]"
"HO-09-05-02-00","Mortgages for Veterans","This category covers mortgage options for veterans and military service members, including opportunities to get a more favorable mortgage, protections, obligations, and dealing with problems that may arise.","HO-09-05-00-00, BE-06-00-00-00",,"NSMI v1 Taxonomy [1770330]"
"HO-09-05-03-00","Mortgage Rescue Scams","This category is about possible scams a homeowner might face when they are facing collections or foreclosure, and they are offered services or help by groups claiming to be HUD or other government agencies -- or who are charging fees for what should be free services. They could also be posing as lawyers or other groups who promise they can help save a home from foreclosure.","HO-09-05-00-00",,"NSMI v1 Taxonomy [1670400]"
"HO-08-02-00-00","Stopping a foreclosure through a 'redemption' (paying off loan in full)","This category covers the option for a homeowner to 'redeem' their property within a certain time period in a foreclosure process, by paying off their debt or reimbursing the person who bought the property at the foreclosure sale. The options vary by state, about whether this redemption period is only before a foreclosure sale, or after the sale as well.","HO-08-00-00-00",,"NSMI v1 Taxonomy [1670200]"
"HO-08-03-00-00","Stopping a foreclosure by reinstating (catching up with) the loan","This category covers options for a homeowner who wants to stop a foreclosure, by 'reinstating' their loan through paying back money they owe (but not the full loan), and then keep up their monthly payments and other fees. States may have different deadlines for when reinstatement may occur, and different lenders may have different policies on reinstating the loan. This category covers how you can use reinstatement as a defense against foreclosure, and also contesting an incorrect reinstatement quote from the lender.","HO-08-00-00-00",,"NSMI v1 Taxonomy [1670100]"
"HO-09-05-04-00","Reverse Mortgages (loans using home equity conversion)","This category covers issues that a homeowner might face if they take out a reverse mortgage, in which they receive money based on putting up their home as equity. This might be called Home Equity Conversion Mortgages. This category covers who is eligible for reverse mortgages, what repayment obligations are, what happens if someone defaults on them, what happens if a spouse/co-owner dies, and what scams might be.","HO-09-05-00-00, MO-08-00-00-00",,"NSMI v1 Taxonomy [1620600]"
"HO-09-06-00-00","Dividing (Partition) a home with another owner","This category covers options for when there are multiple property owners, how to divide the land or home with the other people. This might be with a sibling, friend, partner, or spouse.  This covers options the person has to go to court for a 'partition' to officially divide their ownership rights and the property with an agreement they all live by.","HO-09-00-00-00, FA-06-05-00-00",,"NSMI v1 Taxonomy [1621000]"
"HO-04-02-00-00","Paying for a home through a Bond/Contract for Deed","This category covers options for someone who wants to pay for a home through borrowing money, and the borrower keeps the deed and the legal title to the house (and the borrower has physical possession of the house). It is usually known as a Bond for Deed or Contract for Deed arrangement. This includes dealing with consequences if the buyer defaults on the payments, what happens when the buyer makes improvements to the home,  lawsuits that might result from using this bond/contract.","HO-04-00-00-00, HO-09-05-00-00, MO-03-00-00-00",,"NSMI v1 Taxonomy [1620650], NSMI v1 Taxonomy [1620300]"
"HO-04-03-00-00","Deeds for a home","This category covers issues with drafting, revising, transferring, or dealing with problems with a deed (the legal document about ownership) for a home. This typically done when a home property is being sold and transferred. This covers what kind of deeds are needed, how it is written, how it is recorded, and to deal with other problems.","HO-04-00-00-00",,"NSMI v1 Taxonomy [1620400]"
"HO-04-04-00-00","Closing on a home sale","This category covers issues with the closing of sale process of a home. This could include dealing with problems with the home sale, like liens or debts, unclear title, pests, defects in the home inspection, low appraisals, and other issues. This includes options for backing out of a home purchase, what documents are required, and what other issues and protections are possible.","HO-04-00-00-00",,"NSMI v1 Taxonomy [1620200]"
"HO-04-05-00-00","Cooperatives, Condominiums, and Homeowners Associations","This category covers issues that a person might have when they own a home that's part of a cooperative, condominium, or homeowners association. It includes dealing with governing boards, dealing with complaints and violations,  problems with other homeowners, control of decision-making, and other issues.","HO-09-00-00-00",,"NSMI v1 Taxonomy [1621700]"
"HO-14-00-00-00","Mobile Homes","This category covers issues with owning or renting a mobile home, or living in a mobile home park.","HO-00-00-00-00",,"NSMI v1 Taxonomy [1650000], NSMI v1 Taxonomy [1650300], Legal Server Index Taxonomy [LS002-00065], Legal Services Corporation Taxonomy [65]"
"HO-14-01-00-00","Owning a mobile home","This category covers legal issues that a mobile homeowner might have, when their mobile home is in a mobile home park, or on private land.","HO-09-00-00-00",,"NSMI v1 Taxonomy [1650100], NSMI v1 Taxonomy [1650200]"
"HO-14-02-00-00","Renting in a Mobile Home Park","This category covers rights and options that tenants of a mobile home might have, in a mobile home park. This also includes special rules around eviction or other problems.","HO-14-00-00-00, HO-06-00-00-00",,"NSMI v1 Taxonomy [1650400]"
"HO-09-05-06-00","Mortgage Predatory Lending","This category covers options and issues with possible predatory lending practices around mortgages. This includes what qualifies as predatory lending, using predatory lending as a defense to a foreclosure, options for a victim of predatory lending, or other issues.","HO-09-05-00-00",,"Legal Server Index Taxonomy [LS002-06800], Legal Services Corporation Taxonomy [68]"
"BE-02-01-01-00","Eligibility and Applications for SNAP (food stamp) benefits","This category covers how to apply for SNAP (or food stamp) benefits, who is eligible for it, how to follow the process, and how to deal with issues that may come up during the application process.","BE-02-01-00-00",,"NSMI v1 Taxonomy [1730200], NSMI v1 Taxonomy [1730400]"
"BE-02-01-02-00","Emergency SNAP (food stamp) benefits","This category covers how a person might get emergency food benefits through an expedited application and quick availability. It also includes how long the emergency benefits will last.","BE-02-01-00-00",,"NSMI v1 Taxonomy [1730500]"
"BE-02-01-01-01","Determining eligibility for SNAP (food stamp) benefits","This category covers how it is determined if you qualify for SNAP (food stamp) benefits, including how assets are determined, what size the household is, and other factors are evaluated.","BE-02-01-01-00",,"NSMI v1 Taxonomy [1730400], NSMI v1 Taxonomy [1730300], NSMI v1 Taxonomy [1730800]"
"BE-02-01-01-02","Expedited issuance of SNAP benefits","This category covers options for certain people to get their SNAP benefits application approved more quickly, and have access to the benefits sooner. This includes expedited eligibility for households based on income, housing security, jobs as a migrant farm work, or other demographic categories.","BE-02-01-01-00",,"NSMI v1 Taxonomy [1730600]"
"BE-02-01-03-00","Electronic Benefits Transfer (EBT) system and cards","This category covers issues a person might have when trying to get their SNAP benefits using an Electronic Benefits Transfer card or process. This can be about using a card out of state, having it being blocked, a requirement for a photo card, paying card fees, getting replacements, or bugs in the system.","BE-02-01-00-00, BE-02-02-00-00, BE-01-00-00-00",,"NSMI v1 Taxonomy [1711300]"
"BE-02-01-04-00","Fraud in getting SNAP benefits","This category covers what constitutes 'fraud' when applying for or continuing to receive SNAP (food stamp) benefits, and what rights and options a person has if they are being investigated or accused of engaging in fraud around SNAP.","BE-02-01-00-00",,"NSMI v1 Taxonomy [1730700]"
"BE-02-01-05-00","Being charged with Intentional Program Violations of SNAP","This category covers what happens if a person receiving SNAP benefits is accused of an 'intentional program violation' of the program, because they were overpaid, they lied to the agency, they did not give all facts about their case, they used the food stamps in inappropriate ways, or they sold food stamps for cash. This category covers what process a person gets if they are accused, what punishments they face, and how they can respond to this.","BE-02-01-00-00",,"NSMI v1 Taxonomy [1731300]"
"BE-02-01-06-00","Underpayment of SNAP benefits","This category concerns a person's options if they think they are not being paid enough in SNAP benefits, and how to ensure they are paid correctly.","BE-02-01-00-00",,"NSMI v1 Taxonomy [1731100]"
"BE-02-01-07-00","Overpayment and Recoupment of SNAP benefits","This category covers options and rights a person has if the SNAP agency decides it has been overpaying benefits and attempts to recoup some of the benefits that had been previously issued.","BE-02-01-00-00",,"NSMI v1 Taxonomy [1730900]"
"BE-02-01-08-00","Reduction or Termination of SNAP benefits","This category covers the process, options, and consequences of having one's SNAP benefits reduced or terminated. It includes options for having them reinstated or stopping the termination.","BE-02-01-00-00",,"NSMI v1 Taxonomy [1731000]"
"BE-02-01-01-03","Immigrants' Eligibility for SNAP benefits","This category covers questions that non-US citizens may have about whether they can receive SNAP benefits, what happens if they apply, what categories of immigrants may qualify to receive them, and concerns they may have in applying.","BE-02-01-01-00, IM-03-00-00-00",,"NSMI v1 Taxonomy [1731200]"
"BE-04-02-02-00","Eligibility for unemployment benefits if you quit","This category covers a person's ability to get unemployment benefits if they have quit their job. The options will vary by state, and by the question about whether the person quit the job with 'good cause' or not. This category also covers whether the person quit 'voluntarily' or not.","BE-04-02-00-00",,"NSMI v1 Taxonomy [1760900], NSMI v1 Taxonomy [1761000], NSMI v1 Taxonomy [1761100]"
"BE-04-04-00-00","Termination of Unemployment Benefits","This category covers the process, standards, and options for when unemployment benefits can be terminated. It can also cover a person's rights to contest this decision, and try to get benefits reinstated.","BE-04-00-00-00",,"NSMI v1 Taxonomy [1760700]"
"BE-04-04-01-00","Termination of unemployment benefits for turning down a job","This category covers whether a person's unemployment benefits might be terminated if they turn down a job offer, including whether the job meets the standard of 'Suitable Work' for them.","BE-04-04-00-00",,"NSMI v1 Taxonomy [1761200]"
"BE-04-04-02-00","Termination of unemployment benefits for unavailability for work","This category covers what happens if a person faces termination of their benefits because they are not available for full-time work, because of other obligations, volunteer work, part time work, or other factors.","BE-04-04-00-00",,"NSMI v1 Taxonomy [1761400]"
"BE-04-02-03-00","Eligibility for unemployment benefits after misconduct","This category covers if a person who has lost their job can get unemployment, if there are allegations of misconduct or gross misconduct at their previous job. This covers what a state's criteria is for what counts as 'gross misconduct', and how an employee can respond if they are accused of misconduct and denied benefits because of it.","BE-04-02-00-00",,"NSMI v1 Taxonomy [1760800], NSMI v1 Taxonomy [1761700]"
"BE-04-06-00-00","Unemployment benefits hearings to contest a decision","This category covers the options to request a hearing if a person disagrees about a decision about their eligibility for unemployment benefits, or termination of them.","BE-04-00-00-00, BE-04-05-00-00, BE-04-04-00-00",,"NSMI v1 Taxonomy [ 1760500]"
"BE-04-07-00-00","Overpayment and Recoupment of unemployment benefits","This category covers what happens if a person is notified that they have been receiving incorrect amounts of unemployment benefits, including penalties they might face, recoupment process, ways to pay it back, ways to contest the decision, or dealing with allegations of fraud.","BE-04-00-00-00",,"NSMI v1 Taxonomy [1760600]"
"TO-04-02-00-00","Being a Plaintiff in lawsuit (suing someone)","This category covers the options, process, and obligations of a person who is suing another person or entity, for a harm from an injury that has happened.","TO-04-00-00-00",,"NSMI v1 Taxonomy [1940100], NSMI v1 Taxonomy [2024400]"
"TO-04-03-00-00","Being a Defendant in a lawsuit (being sued)","This category covers the options, rights, and obligations of a person who is being sued in court for an injury (or tort) that another person alleges has happened. This includes how the court process will work, how a person can defend themselves, and what consequences they might face.","TO-04-00-00-00",,"NSMI v1 Taxonomy [1940200], NSMI v1 Taxonomy [2024400]"
"ES-03-02-03-00","Conservatorship of an adult's financial affairs","This category is about some states' options of getting a conservatorship of another adult's financial matters, when they are unable to make decisions for themselves. In some states, it may be called a Limited Conservatorship -- either of the 'person' when it's about the personal needs, or about the 'estate' when it's about financial needs.","ES-03-02-01-00",,"NSMI v1 Taxonomy [1331000]"
"ES-03-01-03-00","Joint Property issues in a guardianship/conservatorship","This category covers issues when the person under the guardianship or conservatorship co-owns property with other people.","ES-03-01-00-00",,"NSMI v1 Taxonomy [1330400]"
"ES-03-03-04-00","Standby guardianship plan for a child","This category covers the option for parents to appoint another to take care of their child if they become incapacitated, they die, they face immigration actions, or otherwise are unable to care for their child suddenly. They do not give up their parental rights, and they may revoke their consent to this standby guardianship at any time. Typically this can be established with a signed document and witnesses, but without a court process.","ES-03-03-00-00, IM-02-00-00-00, IM-01-00-00-00",,"NSMI v1 Taxonomy [1440400]"
"ES-03-03-05-00","Short-term Temporary Guardianship of a child","This category covers legal options for a parent who wants another adult to be the guardian for their child for a short period of time (usually under a year or 6 months). This might be an arrangement that doesn't have to go through the court, but is through a private agreement.","ES-03-03-00-00",,"NSMI v1 Taxonomy [1440500]"
"ES-05-04-00-00","Options around Life-Sustaining Treatments","This category covers issues when a person needs life-sustaining medical treatment to stay alive, and there may be questions about whether these treatments should be withheld (not provided in the first place), or withdrawn (ended after they have begun).","ES-05-00-00-00",,"NSMI v1 Taxonomy [1591600]"
"BE-03-01-00-00","State and Local Medical assistance programs","This category covers options from a local state, city, county, or municipality to help cover the costs of medical care. This includes medical programs that are run by local governments directly, or local government-funded assistance programs to help cover people's costs of care.","BE-03-00-00-00",,"NSMI v1 Taxonomy [1592200], NSMI v1 Taxonomy [1592600], Legal Services Corporation Taxonomy [57]"
"BE-03-02-00-00","Medicaid health coverage","This category covers the Medicaid government program that provides people with limited income access to health care. It covers who qualifies in each state for Medicaid based on income or other conditions (pregnancy, elderly, disability, children, etc). it also covers issues of what types of issues or treatments that Medicaid covers, what happens if there are payment issues, and how program enrollment might be terminated.","BE-03-00-00-00",,"NSMI v1 Taxonomy [1510100], NSMI v1 Taxonomy [1510099], Legal Server Index Taxonomy [LS002-00051], NSMI v1 Taxonomy [1510100], Legal Services Corporation Taxonomy [51]"
"BE-03-03-00-00","Medicare health coverage","This category covers the Medicare health insurance program run by the government, that covers people 65 and over, some people with disability status, and some people with end-stage renal or ALS/Lou Gehrig's disease. This category covers who is eligible for Medicare coverage, how to apply for it, dealing with payment issues, what is covered by it, the different Parts A, B, C, and D, and how one's enrollment might be terminated.","BE-03-00-00-00",,"NSMI v1 Taxonomy [1520100], NSMI v1 Taxonomy [1520099], Legal Server Index Taxonomy [LS002-00052], Legal Services Corporation Taxonomy [52]"
"ES-02-01-00-00","Contesting a will","This category covers issues when a person would like to challenge a written will and testament, about how a now-deceased person's property is divided up. This includes who is eligible to contest a will through a legal process, what this process entails, what kinds of objections are valid, and what might happen after the contesting process ends.","ES-02-00-00-00",,"NSMI v1 Taxonomy [1950200]"
"ES-02-02-00-00","Dying without a will (intestate)","This category covers the law and procedure of what happens to a person's estate if they die without a will. This is called dying ""intestate"". This covers the local state laws that determine who will get the person's property (including money, securities, real estate, and other assets), what family and partner relationships affect this division, and what happens if there is a probate court process to administer this division.","ES-02-00-00-00",,"NSMI v1 Taxonomy [1950400]"
"ES-02-03-00-00","Probate process for an uncontested will","This category covers what happens when a person dies with a will, and then the will goes through the court probate process -- without anyone objecting to the will or raising any challenges to it.","ES-02-04-00-00",,"NSMI v1 Taxonomy [1950700]"
"ES-02-04-00-00","Going to Probate Court","This category concerns what Probate Court is, how they make decisions about whether a will is valid, how people are notified that an estate is being decided in the probate process, how possible beneficiaries can raise issues, how the court appoints people to administer the process, and how final decisions are made.","ES-02-00-00-00, CO-07-00-00-00",,"NSMI v1 Taxonomy [1950800]"
"ES-02-05-00-00","When an estate can avoid probate","This category covers the options people might have to have a now-deceased person's estate may be considered a ""small estate"" so that it does not have to go through a formal court probate process. This might be through a legal document like an affidavit, if the estate's value is underneath a certain amount and if real estate will not be transferred. These rules differ by state.","ES-02-00-00-00",,"NSMI v1 Taxonomy [1950500]"
"ES-01-01-00-00","Drafting and signing a will","This category covers how a person can create a will that will be considered valid after they die, in order to specify what will happen to their property and responsibilities.","ES-01-00-00-00",,"NSMI v1 Taxonomy [1950300]"
"ES-01-02-00-00","Updating a Will through a Codicil","This category covers an option for a person to update a will they already wrote, by using a supplementary document called a 'codicil'. This can be to change who will receive property, who the executor will be, who will be guardian for children, or other decisions that were in the original will. The document would be used to change the will without revoking the original. This category covers what makes a codicil valid, how it can be drafted, how it can be signed and verified, and how it may be used after death.","ES-01-00-00-00",,"NSMI v1 Taxonomy [1950100]"
"ES-02-06-00-00","Being a 'beneficiary' to another's estate","This category covers what rights, options, and responsibilities a person has if they have 'beneficiary' status for another now-deceased person's estate. This includes the right to be informed about the will, other beneficiaries, raise issues, receive their inheritance, and be updated about the execution of the will/probate process.","ES-02-00-00-00",,"NSMI v1 Taxonomy [1951000]"
"ES-01-03-00-00","Distributing money through Payable-on-Death account","This category covers how a person might have other people directly receive money after they die, through a bank account called a Payable-on-Death (PDA) Account. It covers how to set such an account up, how long it will take people to receive money after you die, if and how the fund will be frozen, and how this account works with a probate court process.","ES-01-00-00-00",,"NSMI v1 Taxonomy [1951100]"
"ES-01-05-00-00","Estate Planning for a beneficiary with a disability","This category covers issues that a person might face when drafting their estate plans, if one of their children or other beneficiaries have disabilities. This includes how to transfer assets in ways that do not harm that beneficiary's ability to receive public benefits and other support. It also includes how to ensure that the beneficiary will have long-term support for health and care costs.","ES-01-00-00-00, FA-16-00-00-00, HE-01-10-00-00",,"NSMI v1 Taxonomy [1950000]"
"HO-03-01-02-00","State housing assistance programs","This category covers state programs that might help a person with housing costs on an emergency, temporary basis -- like for rent, utilities, and other costs.","HO-03-01-00-00",,"NSMI v1 Taxonomy [1692000]"
"WO-08-01-00-00","Remedies for discrimination at work","This category covers what an employee (or potential employee) might be eligible to receive if they have faced discrimination in their employment. This includes options to get back pay, compensatory damages, or punitive damages for the discrimination they have faced.","WO-08-00-00-00",,"NSMI v1 Taxonomy [1210600], NSMI v1 Taxonomy [1210699]"
"WO-08-01-01-00","Getting Back-Pay after discrimination at work","This category covers whether and how an employee can get back-pay after they have faced discrimination at work. This would be for the salary or other payments they would have received, had they not gone through the discrimination.","WO-08-01-00-00",,"NSMI v1 Taxonomy [1210601]"
"WO-08-01-02-00","Getting Compensated after discrimination at work","This category covers an employee's options to get paid for compensatory damages for the discrimination they have experienced at work. Compensatory damages cover the costs the person has had to pay out-of-pocket because of the discrimination. This might include job search costs, medical expenses, emotional harms, inconvenience, mental anguish, or loss of enjoyment of life.","WO-08-01-00-00, CO-07-07-00-00",,"NSMI v1 Taxonomy [1210602]"
"WO-08-01-03-00","Punitive damages for work discrimination","This category covers if and how an employee can get punitive damages against an employer for discrimination. Punitive damages are generally possible if the employer's discrimination was especially malicious or reckless. This category covers how much money a person could get, what limits there are on this money, and when punitive damages might be possible.","WO-08-01-00-00, CO-07-07-00-00",,"NSMI v1 Taxonomy [1210603]"
"W0-07-01-00-00","Getting Worker's Compensation benefits","This category covers if and how an employee can get Worker's Compensation benefits. The laws vary state to state, but generally workers who are injured on the job or have a sickness or disability that is made worse by workplace conditions can access workers' compensation to help them cover their costs. This also covers whether Worker's Compensation programs stop an employee from being able to sue their employer for their injury.","WO-07-00-00-00",,"NSMI v1 Taxonomy [1291400]"
"WO-07-02-00-00","Working conditions that are unsafe or unhealthy","This category covers an employee's options if they are working in a place that seems to have health or safety hazards. This could be for dangerous machines, toxic chemicals, or poor training. This category includes the ability to file complaints with the Occupational Safety and Health Administration (OSHA), to get the workplace inspected and improved. It also covers what happens if an employee faces retaliation for making a complaint.","WO-07-00-00-00",,"NSMI v1 Taxonomy [1290800]"
"WO-01-02-00-00","Being drug tested when applying for a job","This category covers a job applicant's rights and options if a potential employer is asking them to take a drug or alcohol test as part of the application process. This includes options to refuse a drug test, what rights you have if you fail the drug test, and what rules the employer must follow to correctly do drug testing without discrimination or inaccuracies.","WO-01-00-00-00",,"NSMI v1 Taxonomy [1291800]"
"W0-02-03-00-00","Being tested for drugs or alcohol at work","This category covers an employee's rights and options if an employer is asking them to take a drug or alcohol test as part of their job. This includes options to refuse a drug test, what rights you have if you fail the drug test, and what rules the employer must follow to correctly do drug testing without discrimination or inaccuracies. It also includes an employee's ability to challenge a drug test, and when employers are allowed to require a test based on 'reasonable suspicion'.","WO-02-00-00-00",,"NSMI v1 Taxonomy [1291800]"
"WO-02-04-00-00","Wage payment, hours, and breaks at work","This category covers issues an employee may have with how much they are getting paid, if they are getting adequate overtime, if employers are requiring workers to clock out during breaks, if the employer is paying less than the minimum wage, or if there are other claims/problems around the amount paid for the hours worked. This might include topics like 'wage theft', when workers are not being paid what is owed to them.","WO-02-00-00-00",,"NSMI v1 Taxonomy [1220100], NSMI v1 Taxonomy [1220199], Legal Services Corporation Taxonomy [22], Legal Server Index Taxonomy [LS002-00022]"
"WO-02-04-01-00","Minimum wage at work","This category covers issues an employee might have if they think an employer is not paying them the required minimum wage in their state or local area. It also covers situations when an employer may pay less than the minimum wage because employees make tips -- with issues around whether this is legal and how to challenge this practice if the employee believes they are not getting paid enough.","WO-02-04-00-00",,"NSMI v1 Taxonomy [1220200]"
"WO-02-04-02-00","Being paid a 'prevailing wage'","This category covers what rights certain kinds of employees have to make a set 'prevailing wage' for workers in their industry and position. This applies particularly when a worker is on a project funded by government money, like a construction project. This category covers if an employer has to pay certain workers a prevailing wage, how a worker can complain about it, and what compensation or other rights they have. ","WO-02-04-00-00",,"NSMI v1 Taxonomy [1220120]"
"WO-02-04-03-00","Getting paid for overtime work","This category covers issues that an employee has about getting paid enough for overtime work. This includes what kinds of workers qualify for overtime pay, how much they should get, and what to do if you have not been paid fairly.","WO-02-04-00-00",,"NSMI v1 Taxonomy [1220110]"
"WO-02-04-04-00","Meal and Rest Breaks","This category covers what employees rights are for getting breaks to eat and rest, and whether they will be paid for the time they are on the break. This includes whether employees have to clock out at breaks, if your state requires employers to give rest or lunch breaks, and how much you should be paid for them.","WO-02-04-00-00",,
"WO-02-04-05-00","Getting paid for trainings and work-related activities","This category covers issues a worker might have, about whether they should be getting paid for activities related to work, like required training, travel, seminars, waiting periods, on-call periods, sleep time, and other activities that might be involved with employment but not the work that the worker typically does on their job.","WO-02-04-00-00",,"NSMI v1 Taxonomy [1291900]"
"WO-02-04-06-00","Getting reimbursed for work-related costs","This category covers questions about getting paid back by their employer for money they spent on work-related costs, like uniforms, supplies, or other materials.","WO-02-04-00-00",,
"WO-05-01-00-00","Employer interfering with union activity (Unfair Labor Practices)","This category covers protections and issues for employees who are facing interference by their employer, when trying to organize, join, or assist a union. It also covers what kinds of employee activities are protected as concerted activities, like conversations, posting on social media, or collective bargaining. This is in part defined by the National Labor Relations Act, and other labor laws, that lay out protections for employees and unions.","WO-05-00-00-00",,
"WO-05-02-00-00","Unfair Labor Practices by Unions","This category covers restrictions on what unions can do at a workplace, under laws around unfair labor practices. This includes situations when unions may be restraining or coercing employees regarding their choice not to support a union, crossing a picket line, restraining an employer's choice of bargaining representative, causing employers to penalize employees who engage in anti-union activities, or charging excessive fees. This category covers how an employee might make a complaint to the NLRB about these practices, and what rights they have.","WO-05-00-00-00",,"NSMI v1 Taxonomy [1292100]"
"WO-03-01-00-00","Being fired after whistleblowing","This category covers options and rights for a person who has been terminated from their job after being a whistleblower regarding illegal activity by their employer. This includes when whistleblowers have protections against termination, retaliation, or ability to make claims to be compensated for being fired.","WO-03-02-00-00",,"NSMI v1 Taxonomy [1291502]"
"WO-03-02-00-00","Being fired from a job","This category covers issues a person might have after they have been terminated from their job. It includes the possibility to raise a 'wrongful termination' claim, when employers are allowed to let a worker go, what reasons are acceptable for it, and what a worker can do if they think they have been fired illegally or in a way that is against public policy (like for retaliation or discrimination).","WO-03-00-00-00",,"NSMI v1 Taxonomy [1291500], NSMI v1 Taxonomy [1291599]"
"WO-02-05-00-00","Minors' protections and restrictions at work","This category covers the legal limits on the employment of minors (people under the age of 18). This includes whether the minors can be employed at all, what jobs are considered too hazardous to have minors employed, what limits on hours or activities there might be, and what extra protections they might have at work.","WO-02-00-00-00",,
"WO-02-06-00-00","Being an Employee vs. an Independent Contractor","This category covers questions a worker might have about their relationship with the organization they're working for, including if you have been misclassified as an independent contractor rather than an employee.","WO-02-00-00-00",,"NSMI v1 Taxonomy [1210700]"
"WO-04-01-00-00","Mismanagement of retirement and pension plans (under ERISA)","This category covers what employees can do if they believe that their employer has violated their obligations to properly manage retirement, pension, and profit-sharing plans under the Employee Retirement Income Security Act (ERISA). This includes obligations to provide benefits to current or former employees, to maintain their fiduciary duties toward the employees, and to protect their rights.","WO-04-00-00-00",,"NSMI v1 Taxonomy [1250300], NSMI v1 Taxonomy [1250220]"
"WO-04-03-00-00","Eligibility for pension plan or retirement benefits","This category covers questions around whether a person is eligible to join a pension plan or get retirement benefits through their work.","WO-04-00-00-00",,"NSMI v1 Taxonomy [1250210]"
"WO-04-04-00-00","Vesting of retirement plan","This category covers issues around when an employee's retirement plans vest, meaning that they have ownership over the account balance that the employer cannot take away. This includes rules around losing retirement benefits if a person leaves the job or works less than a certain number of hours. It also includes rules around when there must e 100% vesting.","WO-04-00-00-00",,"NSMI v1 Taxonomy [1250240]"
"WO-04-05-00-00","Railroad workers' retirement system","This category covers issues around railroad retirement benefits. This is typically eligible to railroad workers and their families through the federal agency Railroad Retirement Board. This category covers eligibility, overpayments, benefit appeals, and other resources.","WO-04-00-00-00",,"NSMI v1 Taxonomy [1250230]"
"WO-08-02-00-00","Sexual harassment at work","This category covers situations when a person is facing sexual harassment at work or an interview for employment, including propositions, jokes, touching, and other physical or verbal conduct that is sexual in nature. This category includes the standards of what constitutes sexual harassment, how to make complaints, what workers' or applicants' rights are, and steps they can take to protect themselves.","WO-08-00-00-00, TO-05-00-00-00",,"NSMI v1 Taxonomy [1210508]"
"WO-01-03-00-00","Affirmative Action for employment","This category covers if and whether affirmative action policies will affect a person who is applying for a job. It covers the rules that might determine if an employer can or should promote job opportunities for specific groups of people, like people of color, women, people with disabilities, or military veterans.","WO-01-00-00-00",,"NSMI v1 Taxonomy [1210100]"
"WO-08-03-00-00","Age discrimination at work","This category covers options and rights for a person who may be facing inappropriate treatment at work (or potential work) based on their age. This includes around their hiring, firing, pay, job assignments, promotions, or comments and insults. The category covers what the standards for discrimination are, and what a person can do to protect themselves.","WO-08-00-00-00, RI-19-00-00-00",,"NSMI v1 Taxonomy [1210505]"
"WO-08-04-00-00","Disability discrimination at work","This category covers options and rights for a person who may be facing inappropriate treatment at work (or potential work) based on their disability. This includes around their hiring, firing, pay, job assignments, promotions, or comments and insults. The category covers what the standards for discrimination are, and what a person can do to protect themselves.","WO-08-00-00-00, RI-03-00-00-00",,"NSMI v1 Taxonomy [1840000]"
"WO-08-05-00-00","Gender discrimination at work","This category covers options and rights for a person who may be facing inappropriate treatment at work (or potential work) based on their gender. This includes around their hiring, firing, pay, job assignments, promotions, or comments and insults. The category covers what the standards for discrimination are, and what a person can do to protect themselves.","WO-08-00-00-00, RI-11-00-00-00",,"NSMI v1 Taxonomy [1210503]"
"RI-18-00-00-00","Racial Justice and discrimination","This category covers rights and options for people facing discrimination, harassment, unequal treatment, and other disproportionate harm based on their race.","RI-00-00-00-00",,"NSMI v1 Taxonomy [1851700]"
"WO-08-06-00-00","Racial and Ethnic discrimination at work","This category covers options and rights for a person who may be facing inappropriate treatment at work (or potential work) based on their race, ethnicity, or country of origin. This includes around their hiring, firing, pay, job assignments, promotions, or comments and insults. The category covers what the standards for discrimination are, and what a person can do to protect themselves.","WO-08-00-00-00, IM-06-00-00-00, RI-18-00-00-00",,"NSMI v1 Taxonomy [1210502], NSMI v1 Taxonomy [1210501]"
